Zone,Code zone,Année,Population,Evolution population (%),Dispo. Alim. (Kcal/personne),Dispo. Prot. (g/personne),Prot. Animales/Prot. Totales dispo (%),Cluster
Arménie,1,2017,2944790.9999999995,0.6579999999999999,1123470.0,35540.05,45.773999999999994,5
Afghanistan,2,2017,36296113.0,5.47,730000.0,19742.85,19.505,1
Albanie,3,2017,2884169.0000000005,-0.21899999999999997,1241000.0,43635.75,55.49100000000001,3
Algérie,4,2017,41389189.0,4.181,1222385.0,33912.15,27.671999999999997,4
Angola,7,2017,29816766.0,6.93,828550.0,19750.15,30.456,1
Antigua-et-Barbuda,8,2017,95426.0,1.9880000000000002,886950.0,29729.25,66.372,5
Argentine,9,2017,43937140.0,2.001,1182235.0,37489.15,63.957,3
Australie,10,2017,24584620.0,2.725,1208515.0,39456.5,65.957,3
Autriche,11,2017,8819901.0,1.6269999999999998,1347580.0,39467.45,60.001999999999995,3
Bahamas,12,2017,381755.0,2.017,745695.0,22436.55,68.342,5
Barbade,14,2017,286232.0,0.318,1057040.0,32576.25,56.437,5
Bangladesh,16,2017,159685424.0,2.195,947540.0,22002.2,19.840999999999998,2
Bolivie (État plurinational de),19,2017,11192855.0,2.9730000000000003,859210.0,24987.9,45.37,2
Botswana,20,2017,2205080.0,3.978,854100.0,23790.7,40.58,2
Brésil,21,2017,207833823.0,1.6440000000000001,1185520.0,33163.9,58.111000000000004,3
Belize,23,2017,375769.0,4.11,984770.0,24520.7,37.883,2
Îles Salomon,25,2017,636039.0,5.457999999999999,880015.0,19585.9,29.555999999999997,2
Bulgarie,27,2017,7102444.0,-1.351,1032220.0,30419.1,49.976000000000006,5
Myanmar,28,2017,53382523.0,1.3319999999999999,985865.0,34072.75,47.852,5
Cameroun,32,2017,24566073.0,5.441,968345.0,25349.25,16.213,1
Canada,33,2017,36732095.0,1.9580000000000002,1274580.0,36938.0,50.36600000000001,3
Cabo Verde,35,2017,537498.0,2.431,917975.0,25309.1,37.064,2
République centrafricaine,37,2017,4596023.0,2.289,641670.0,16950.6,43.711999999999996,2
Sri Lanka,38,2017,21128032.000000004,1.052,953745.0,23498.7,29.093000000000004,2
Tchad,39,2017,15016753.0,6.419,762850.0,25736.15,30.875,1
Chili,40,2017,18470439.0,2.7889999999999997,1099015.0,32342.65,51.371,4
"Chine, continentale",41,2017,1421021791.0,1.0070000000000001,1166905.0,37018.3,39.519,5
Colombie,44,2017,48909839.00000001,2.923,1129310.0,26411.4,51.382,4
Congo,46,2017,5110695.0,5.242999999999999,842785.0,20403.5,47.71,2
Costa Rica,48,2017,4949954.000000001,2.1069999999999998,1100475.0,29623.4,56.161,4
Cuba,49,2017,11339253.999999998,0.128,1244650.0,32280.6,36.839,5
Chypre,50,2017,1179678.0,1.61,954840.0,29302.2,56.863,5
Azerbaïdjan,52,2017,9845320.0,2.313,1132595.0,33707.75,32.604,4
Bénin,53,2017,11175198.0,5.666,1005940.0,23520.6,22.331,1
Danemark,54,2017,5732274.0,0.7659999999999999,1235160.0,41263.25,64.777,3
Dominique,55,2017,71458.0,0.386,1074560.0,28813.1,54.51,5
République dominicaine,56,2017,10513104.0,2.251,1045360.0,24411.2,51.391000000000005,5
Bélarus,57,2017,9450231.0,0.114,1200485.0,34346.5,54.187,3
Équateur,58,2017,16785361.0,3.537,943890.0,24009.7,45.515,2
Égypte,59,2017,96442591.0,4.327,1212165.0,35160.45,24.997,4
El Salvador,60,2017,6388126.0,0.996,970900.0,27305.65,34.688,2
Estonie,63,2017,1319390.0,0.309,1184425.0,39237.5,57.2,3
Fidji,66,2017,877459.0,1.0170000000000001,1072005.0,26984.45,42.216,5
Finlande,67,2017,5511371.0,0.552,1218005.0,42989.7,62.438,3
France,68,2017,64842509.00000001,0.604,1298670.0,40912.85,62.163999999999994,3
Polynésie française,70,2017,276102.0000000001,1.09,1067260.0,35751.75,65.993,3
Djibouti,72,2017,944099.0,3.2939999999999996,978200.0,24341.85,19.238,2
Géorgie,73,2017,4008716.0,-0.384,1048280.0,28072.15,36.861,5
Gabon,74,2017,2064823.0,6.013999999999999,964695.0,29083.2,48.67,2
Gambie,75,2017,2213889.0,6.138,927100.0,23287.0,26.003,1
Allemagne,79,2017,82658409.0,1.065,1297940.0,38033.0,60.537,3
Bosnie-Herzégovine,80,2017,3351525.0,-2.27,1193185.0,34569.149999999994,36.67,5
Ghana,81,2017,29121465.0,4.5680000000000005,1107045.0,22980.4,24.381,2
Kiribati,83,2017,114158.0,2.91,1115440.0,26977.15,49.926,4
Grèce,84,2017,10569450.0,-0.847,1224575.0,38401.65,53.958999999999996,3
Grenade,86,2017,110874.0,1.163,877460.0,25761.7,60.655,5
Guatemala,89,2017,16914970.0,4.077,930385.0,25506.2,30.81,2
Guinée,90,2017,12067518.999999998,5.558,1020175.0,22571.6,18.451,1
Guyana,91,2017,775222.0,1.015,1053025.0,32072.550000000007,44.293,5
Haïti,93,2017,10982366.000000002,2.682,789860.0,18228.1,19.984,2
Honduras,95,2017,9429013.0,3.469,931480.0,23418.4,34.757,2
Chine - RAS de Hong-Kong,96,2017,7306321.999999999,1.6740000000000002,1225670.0,50344.45,73.305,3
Hongrie,97,2017,9729823.0,-0.49200000000000005,1199390.0,32090.8,56.653999999999996,3
Croatie,98,2017,4182857.0,-1.182,1125295.0,32977.75,59.535,3
Islande,99,2017,334393.0,1.2570000000000001,1324220.0,51468.65,71.569,3
Inde,100,2017,1338676785.0,2.177,918705.0,23845.45,22.516,2
Indonésie,101,2017,264650963.0,2.426,1055580.0,25049.95,32.333,2
Iran (République islamique d'),102,2017,80673883.0,2.779,1138435.0,31970.35,28.862,4
Iraq,103,2017,37552781.0,5.568,914690.0,22100.75,22.378,1
Irlande,104,2017,4753279.0,2.168,1356705.0,38668.1,57.051,3
Israël,105,2017,8243848.0,3.326,1280785.0,44785.5,59.128,3
Italie,106,2017,60673700.99999999,0.157,1285530.0,38963.75,53.433,3
Côte d'Ivoire,107,2017,24437470.0,5.215,996450.0,21600.7,23.166999999999998,1
Kazakhstan,108,2017,18080019.0,2.891,1166540.0,34671.35,57.89,3
Jamaïque,109,2017,2920848.0,1.032,1006305.0,26590.25,49.306999999999995,5
Japon,110,2017,127502725.0,-0.377,984405.0,31601.7,55.521,5
Jordanie,112,2017,9785843.0,5.604,990610.0,25221.5,34.92,2
Kirghizistan,113,2017,6189733.0,3.87,1021270.0,31145.45,40.466,4
Kenya,114,2017,50221142.0,4.893,775260.0,22221.2,25.279,1
Cambodge,115,2017,16009409.0,3.1439999999999997,902280.0,23871.000000000004,29.296999999999997,2
République populaire démocratique de Corée,116,2017,25429825.0,0.977,741680.0,19071.25,20.172,2
République de Corée,117,2017,51096415.0,0.5379999999999999,1229685.0,35412.3,50.66,3
Koweït,118,2017,4056099.0,5.749,1257790.0,36434.3,47.516000000000005,4
Lettonie,119,2017,1951097.0,-2.332,1156685.0,35521.8,57.162,3
République démocratique populaire lao,120,2017,6953035.0,3.1430000000000002,1112155.0,30368.0,24.159000000000002,4
Liban,121,2017,6819373.000000001,4.388999999999999,1051200.0,24703.2,29.994,2
Lesotho,122,2017,2091534.0,1.579,832930.0,23389.2,19.07,2
Libéria,123,2017,4702226.0,5.143,778180.0,14559.85,24.517,1
Lituanie,126,2017,2845414.0,-2.949,1247935.0,45690.7,61.527,3
Chine - RAS de Macao,128,2017,622585.0,3.405,1095730.0,36667.9,66.773,3
Madagascar,129,2017,25570512.000000004,5.515,694595.0,15673.1,21.425,1
Malawi,130,2017,17670196.0,5.523,966155.0,24827.3,16.848,1
Malaisie,131,2017,31104646.0,2.7539999999999996,1061785.0,28802.15,54.746,4
Maldives,132,2017,496402.0,9.12,821980.0,29827.8,60.083,2
Mali,133,2017,18512430.0,6.157,1067990.0,30992.15,27.311,2
Malte,134,2017,437933.00000000006,1.0090000000000001,1262900.0,42467.75,57.55,3
Mauritanie,136,2017,4282570.0,5.8389999999999995,1037330.0,29134.3,36.883,2
Maurice,137,2017,1264499.0,0.4,1141355.0,32324.4,43.699,5
Mexique,138,2017,124777324.0,2.395,1189900.0,34091.0,46.88399999999999,3
Mongolie,141,2017,3113785.9999999995,3.847,865415.0,30072.35,68.139,5
Maroc,143,2017,35581255.0,2.647,1233700.0,35795.55,27.98,4
Mozambique,144,2017,28649018.0,5.943,840960.0,18691.65,17.555,1
République de Moldova,146,2017,4059684.0,-0.271,874175.0,23126.4,48.626999999999995,5
Namibie,147,2017,2402633.0,3.79,887315.0,22692.05,36.625,2
Népal,149,2017,27632681.0,2.286,1046090.0,26900.5,17.178,2
Pays-Bas,150,2017,17021346.999999996,0.489,1185885.0,38186.3,65.418,3
Nouvelle-Calédonie,153,2017,277150.0,2.245,1004480.0,30211.05,58.354,5
Macédoine du Nord,154,2017,2081996.0,0.128,1095000.0,29448.2,40.816,5
Vanuatu,155,2017,285510.0,5.303999999999999,957395.0,23261.45,39.746,2
Nouvelle-Zélande,156,2017,4702034.000000001,1.896,1151940.0,33196.75,57.086000000000006,3
Nicaragua,157,2017,6384846.0,2.597,959585.0,24144.750000000004,33.333,2
Niger,158,2017,21602382.0,8.003,941335.0,29889.85,15.24,1
Nigéria,159,2017,190873244.0,5.375,899360.0,20410.8,12.75,1
Norvège,162,2017,5296326.0,1.8559999999999999,1235525.0,40208.4,58.56,3
Pakistan,165,2017,207906209.0,4.252,848990.0,24181.25,42.053000000000004,2
Panama,166,2017,4106769.0,3.485,1036235.0,29010.2,53.095,4
Tchéquie,167,2017,10641034.0,0.374,1195740.0,31565.2,61.482,3
Paraguay,169,2017,6867061.0,2.6660000000000004,1000100.0,26287.3,46.708999999999996,5
Pérou,170,2017,31444298.0,3.195,1010685.0,28623.3,37.643,4
Philippines,171,2017,105172925.0,2.9960000000000004,976010.0,22878.2,41.018,2
Pologne,173,2017,37953180.0,-0.213,1286625.0,37624.2,53.763999999999996,3
Portugal,174,2017,10288527.0,-0.77,1274580.0,41788.85,63.516000000000005,3
Guinée-Bissau,175,2017,1828145.0,5.235,822345.0,16114.75,21.133000000000003,1
Timor-Leste,176,2017,1243258.0,3.925,781100.0,21071.45,27.125999999999998,1
Zimbabwe,181,2017,14236595.0,3.054,793145.0,18691.65,22.691,2
Roumanie,183,2017,19653969.0,-1.361,1286625.0,38956.45,48.965,3
Rwanda,184,2017,11980961.000000002,5.382000000000001,808475.0,21622.6,14.77,1
Fédération de Russie,185,2017,145530082.0,0.376,1227130.0,37178.9,54.781000000000006,3
Saint-Kitts-et-Nevis,188,2017,52045.0,1.6440000000000001,917975.0,28094.05,64.038,5
Sainte-Lucie,189,2017,180954.0,1.021,971265.0,31554.25,60.382,5
Saint-Vincent-et-les Grenadines,191,2017,109827.0,0.622,1080400.0,32638.3,54.216,5
Sao Tomé-et-Principe,193,2017,207089.00000000003,3.839,882570.0,18998.25,30.413,2
Arabie saoudite,194,2017,33101179.0,4.362,1165810.0,31952.1,42.278,4
Sénégal,195,2017,15419355.0,5.768,953380.0,22126.3,21.462,1
Sierra Leone,197,2017,7488423.000000001,4.413,893885.0,20323.2,23.851,2
Slovénie,198,2017,2076394.0,0.251,1166175.0,35912.35,54.985,3
Slovaquie,199,2017,5447900.0,0.226,1010685.0,22892.8,58.849,5
Afrique du Sud,202,2017,57009755.99999999,2.931,1092810.0,30444.65,41.434,4
Espagne,203,2017,46647428.0,-0.052000000000000005,1193550.0,39095.15,62.114,3
Suriname,207,2017,570496.0,2.03,982945.0,21994.9,40.989,2
Tadjikistan,208,2017,8880268.0,5.042,767960.0,20217.35,24.281999999999996,1
Eswatini,209,2017,1124805.0,1.88,877825.0,22381.8,29.534000000000002,2
Suède,210,2017,9904896.0,1.433,1174935.0,39131.65,63.091,3
Suisse,211,2017,8455804.0,1.9169999999999998,1245745.0,34886.7,61.205,3
Turkménistan,213,2017,5757666.999999999,3.457,1047915.0,33890.25,43.113,4
"Chine, Taiwan Province de",214,2017,23674546.000000004,0.49700000000000005,1086240.0,31298.75,49.516000000000005,5
République-Unie de Tanzanie,215,2017,54660339.00000001,6.172000000000001,874540.0,21819.7,15.624,1
Thaïlande,216,2017,69209810.0,0.721,1031855.0,22265.0,42.918,5
Togo,217,2017,7698474.0,5.125,886585.0,20921.8,16.05,1
Trinité-et-Tobago,220,2017,1384059.0,1.002,1110695.0,30897.250000000004,49.911,5
Oman,221,2017,4665928.0,9.34,1069815.0,31076.1,49.565,2
Tunisie,222,2017,11433443.000000002,2.267,1265455.0,36127.7,28.491,4
Turquie,223,2017,81116450.0,3.2939999999999996,1292100.0,36948.95,35.335,4
Émirats arabes unis,225,2017,9487203.000000002,2.4219999999999997,1228590.0,39182.75,40.829,4
Ouganda,226,2017,41166587.99999999,7.694,782560.0,19107.75,20.783,1
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,229,2017,66727460.99999999,1.317,1251220.0,37978.25,56.213,3
Ukraine,230,2017,44487709.0,-0.966,1107775.0,31459.35,43.381,5
États-Unis d'Amérique,231,2017,325084756.0,1.311,1374590.0,41511.45,64.952,3
Burkina Faso,233,2017,19193234.0,5.978,992800.0,27787.45,14.37,1
Uruguay,234,2017,3436640.9999999995,0.722,1150845.0,30816.95,53.428999999999995,5
Ouzbékistan,235,2017,31959785.0,3.3310000000000004,1103030.0,34142.10000000001,40.047,4
Venezuela (République bolivarienne du),236,2017,29402484.0,-2.258,820155.0,20542.2,45.078,5
Viet Nam,237,2017,94600648.0,2.076,1072370.0,32860.95,40.885999999999996,4
Éthiopie,238,2017,106399924.0,5.518,840960.0,23962.250000000004,8.911,1
Samoa,244,2017,195352.0,0.95,1085510.0,31298.75,61.818999999999996,5
Yémen,249,2017,27834819.0,5.045,752995.0,19428.95,20.026,1
Zambie,251,2017,16853599.0,6.135,734745.0,21567.85,19.783,1
Belgique,255,2017,11419748.0,1.168,1375320.0,37065.75,56.986999999999995,3
Luxembourg,256,2017,591910.0,4.441,1217275.0,38711.9,63.54,3
Serbie,272,2017,8829628.0,-0.531,1023825.0,30112.5,48.50899999999999,5
Monténégro,273,2017,627563.0,0.09699999999999999,1270565.0,41358.15,60.604,3
Soudan,276,2017,40813397.00000001,4.9110000000000005,888045.0,24776.2,31.128,2
